,dataset,file_name,width,height,mpp_x,mpp_y,width_microns,height_microns,manufacturer,magnification,tiff.XResolution,tiff.YResolution,resolution_mpp_x,resolution_mpp_y
229,tcga_luad,TCGA-NJ-A4YG-01Z-00-DX1.507BAE41-5EE9-4657-AAD1-AD456750BA2F.svs,197207,77830,0.2527,0.2527,49834.2089,19667.641,aperio,40,,,,
230,tcga_luad,TCGA-55-7727-01Z-00-DX1.0c7a4953-16dc-41e0-845b-b89167ec17d7.svs,134294,90266,0.252,0.252,33842.088,22747.032,aperio,40,,,,
231,tcga_luad,TCGA-49-6745-01Z-00-DX5.9521a16f-d6a7-460c-b75c-7341d72ce727.svs,148683,76686,0.252,0.252,37468.116,19324.872,aperio,40,,,,
232,tcga_luad,TCGA-75-6203-01Z-00-DX1.9796ACAB-9E1A-4BC5-B80C-4EC856FA14B7.svs,71959,19959,0.5005,0.5005,36015.479499999994,9989.4795,aperio,20,,,,
233,tcga_luad,TCGA-44-2664-01Z-00-DX1.35c75ae5-eee0-4e69-a13a-31b5fad9869a.svs,99761,74007,0.252,0.252,25139.772,18649.764,aperio,40,,,,
234,tcga_luad,TCGA-L9-A7SV-01Z-00-DX1.153B8E2D-54CE-4747-A22E-7A6ADCA03DB5.svs,141432,72223,0.2525,0.2525,35711.58,18236.3075,aperio,40,,,,
235,tcga_luad,TCGA-97-8177-01Z-00-DX1.4c2ddf48-40d3-4fa0-8b5f-0485e8270ac7.svs,118740,92802,0.2485,0.2485,29506.89,23061.297,aperio,40,,,,
236,tcga_luad,TCGA-05-5429-01Z-00-DX1.20729065-FADA-4E43-98D7-AFA5FB4A0447.svs,10000,6536,,,,,aperio,Unknown,,,,
237,tcga_luad,TCGA-L9-A8F4-01Z-00-DX1.E2BBB8DE-94E2-4781-9B55-8A4CFBF8A69D.svs,119519,94093,0.2527,0.2527,30202.451299999997,23777.301099999997,aperio,40,,,,
238,tcga_luad,TCGA-97-7938-01Z-00-DX1.d774d0a2-ee34-43ba-9d9d-34bf9718292e.svs,97673,76351,0.2485,0.2485,24271.7405,18973.2235,aperio,40,,,,
239,tcga_luad,TCGA-44-2656-01Z-00-DX1.5f247f31-4bb5-460d-a1f7-7dcdba33c835.svs,130457,55746,0.252,0.252,32875.164,14047.992,aperio,40,,,,
240,tcga_luad,TCGA-MP-A4T6-01Z-00-DX1.085C4F5A-DB1B-434A-9D62-E2187D133B0A.svs,105576,83724,0.2525,0.2525,26657.94,21140.31,aperio,40,,,,
241,tcga_luad,TCGA-95-7039-01Z-00-DX1.C191A46D-A667-4BF6-8E6B-3E5CBF9DF43F.svs,95232,73984,0.2265,0.2265,21570.048,16757.376,aperio,40,,,,
242,tcga_luad,TCGA-55-7574-01Z-00-DX1.09639e6a-d85f-4d84-abbc-0f5a6d679683.svs,45084,54285,0.252,0.252,11361.168,13679.82,aperio,40,,,,
243,tcga_luad,TCGA-05-4410-01Z-00-DX1.E5B66334-4949-4F45-9200-296B1A2F1AD5.svs,8369,10000,,,,,aperio,Unknown,,,,
244,tcga_luad,TCGA-83-5908-01Z-00-DX1.381c8f82-61a0-4e9d-982d-1ad0af7bead9.svs,70984,70475,0.252,0.252,17887.968,17759.7,aperio,40,,,,
245,tcga_luad,TCGA-95-7948-01Z-00-DX1.FF1AEF38-19E5-4475-87C8-B318204FEF1D.svs,107136,64000,0.2265,0.2265,24266.304,14496.0,aperio,40,,,,
246,tcga_luad,TCGA-86-8281-01Z-00-DX1.02237263-003b-4de1-8a2f-0f3ad14768c7.svs,49801,47480,0.252,0.252,12549.852,11964.960000000001,aperio,40,,,,
247,tcga_luad,TCGA-97-8171-01Z-00-DX1.a55cbfd1-6674-4206-b3e0-2a4f12a74e5d.svs,113952,83906,0.2485,0.2485,28317.072,20850.641,aperio,40,,,,
248,tcga_luad,TCGA-55-8203-01Z-00-DX1.f530d261-be19-4ff0-98d0-27b789dffb23.svs,38369,17462,0.252,0.252,9668.988,4400.424,aperio,40,,,,
249,tcga_luad,TCGA-S2-AA1A-01Z-00-DX1.4B5D5FAE-8305-4D2D-B245-584589352886.svs,101591,88406,0.2527,0.2527,25672.0457,22340.1962,aperio,40,,,,
250,tcga_luad,TCGA-49-4510-01Z-00-DX2.e0552b15-6bd7-4660-8a60-9edd0d638e7e.svs,106476,65948,0.252,0.252,26831.952,16618.896,aperio,40,,,,
251,tcga_luad,TCGA-49-4506-01Z-00-DX1.b13b8ef2-fd06-4309-a767-696a9afeaedd.svs,103598,69468,0.252,0.252,26106.696,17505.936,aperio,40,,,,
252,tcga_luad,TCGA-50-5044-01Z-00-DX1.7E0E651F-411B-4784-B0FA-6EB612527430.svs,155376,81413,0.2525,0.2525,39232.44,20556.7825,aperio,40,,,,
253,tcga_luad,TCGA-86-A4JF-01Z-00-DX1.22828B15-D68E-4300-A3A8-FBC11B319BC5.svs,105672,95908,0.2468,0.2468,26079.849599999998,23670.094399999998,aperio,40,,,,
254,tcga_luad,TCGA-44-7669-01Z-00-DX1.34d0c9ac-d3dc-4a5e-b99c-a8c1c1e120d1.svs,37410,63853,0.252,0.252,9427.32,16090.956,aperio,40,,,,
255,tcga_luad,TCGA-86-8074-01Z-00-DX1.0c34b434-8701-4060-a4ea-08a72371ee1e.svs,91128,71141,0.252,0.252,22964.256,17927.532,aperio,40,,,,
256,tcga_luad,TCGA-44-A4SU-01Z-00-DX1.AE2607C1-B208-4557-ADB4-6AAF03C6D3A9.svs,179928,52044,0.2468,0.2468,44406.2304,12844.4592,aperio,40,,,,
257,tcga_luad,TCGA-50-5055-01Z-00-DX1.0c9d846b-89b4-4b18-a2eb-0f8d8e0a33c7.svs,109354,79914,0.252,0.252,27557.208,20138.328,aperio,40,,,,
258,tcga_luad,TCGA-44-3918-01Z-00-DX1.6da70a8b-6307-423a-9d2d-380c16962855.svs,150601,48809,0.252,0.252,37951.452,12299.868,aperio,40,,,,
259,tcga_luad,TCGA-05-4426-01Z-00-DX1.4c9da782-f4aa-4c4f-b3aa-fae2259f236f.svs,42240,75008,0.2325,0.2325,9820.800000000001,17439.36,aperio,20,,,,
260,tcga_luad,TCGA-64-1677-01Z-00-DX1.7720D42B-1F57-4C23-9BC5-87C456E7737B.svs,83663,63694,0.2527,0.2527,21141.640099999997,16095.473799999998,aperio,40,,,,
261,tcga_luad,TCGA-55-6979-01Z-00-DX1.9238436e-3886-4a10-86fe-26658967dff2.svs,68106,67400,0.252,0.252,17162.712,16984.8,aperio,40,,,,
262,tcga_luad,TCGA-49-6742-01Z-00-DX2.2c6b4df0-867d-40c5-8bee-14e2d219224b.svs,158275,80574,0.252,0.252,39885.3,20304.648,aperio,40,,,,
263,tcga_luad,TCGA-78-7158-01Z-00-DX1.74db3dcd-2715-4ce7-8e48-30c8b7946ba0.svs,99761,71214,0.252,0.252,25139.772,17945.928,aperio,40,,,,
264,tcga_luad,TCGA-05-4417-01Z-00-DX1.6E534856-996F-4BD9-8AFC-7B1BF627E505.svs,66560,54016,0.2325,0.2325,15475.2,12558.720000000001,aperio,20,,,,
265,tcga_luad,TCGA-93-A4JO-01Z-00-DX1.314C53B6-603C-402B-8CF7-E3CE851A0A0F.svs,79679,65918,0.2527,0.2527,20134.883299999998,16657.4786,aperio,40,,,,
266,tcga_luad,TCGA-49-4505-01Z-00-DX1.d49d603e-1f76-43a1-a803-9f2d6a6df715.svs,96883,78802,0.252,0.252,24414.516,19858.104,aperio,40,,,,
267,tcga_luad,TCGA-55-8094-01Z-00-DX1.8dc29615-e124-4f17-81a1-c0b20c38d12c.svs,35492,31380,0.252,0.252,8943.984,7907.76,aperio,40,,,,
268,tcga_luad,TCGA-55-6712-01Z-00-DX1.8cd4b879-294e-4da0-8636-704f61b510dc.svs,28777,31582,0.252,0.252,7251.804,7958.664,aperio,40,,,,
269,tcga_luad,TCGA-49-4487-01Z-00-DX1.3a3a0720-463c-430e-849b-e2f8991bdfa5.svs,118095,85791,0.2505,0.2505,29582.7975,21490.6455,aperio,40,,,,
270,tcga_luad,TCGA-44-8119-01Z-00-DX1.1EBEBFA7-22DB-4365-9DF8-C4E679C11312.svs,54726,25547,0.2505,0.2505,13708.863,6399.5235,aperio,40,,,,
271,tcga_luad,TCGA-69-8253-01Z-00-DX1.631c741f-46bd-4d4b-8f6c-64787fb4c402.svs,61391,70645,0.252,0.252,15470.532,17802.54,aperio,40,,,,
272,tcga_luad,TCGA-55-7227-01Z-00-DX1.e1a9e09c-4a50-4ee5-b1e4-2c7ae34dc913.svs,60432,40714,0.252,0.252,15228.864,10259.928,aperio,40,,,,
273,tcga_luad,TCGA-05-4390-01Z-00-DX1.858E64DF-DD3E-4F43-B7C1-CE35B33F1C90.svs,6745,10000,,,,,aperio,Unknown,,,,
274,tcga_luad,TCGA-MP-A4T2-01Z-00-DX1.ADE8B45C-26F3-465E-ADB6-2C36E6326974.svs,79680,69199,0.2525,0.2525,20119.2,17472.7475,aperio,40,,,,
275,tcga_luad,TCGA-55-7725-01Z-00-DX1.4d678777-63b1-4f4a-932a-7fccabf504c7.svs,29736,28294,0.252,0.252,7493.472,7130.088,aperio,40,,,,
276,tcga_luad,TCGA-86-8075-01Z-00-DX1.171bd8bd-af24-4770-b24b-732e675efd75.svs,65228,76764,0.252,0.252,16437.456,19344.528,aperio,40,,,,
277,tcga_luad,TCGA-49-AARN-01Z-00-DX1.E13AA041-978E-427D-AFA5-D3180224A03A.svs,115536,78279,0.2525,0.2525,29172.84,19765.4475,aperio,40,,,,
278,tcga_luad,TCGA-78-7146-01Z-00-DX1.830209b2-94c5-4277-a7b6-b2f2634de0dc.svs,84413,66269,0.252,0.252,21272.076,16699.788,aperio,40,,,,
