wsi_id,mean_superpixel_area,magnification,mpp_x,mpp_y,norm_mpp_x,norm_mpp_y
C3N-01020-26,704794.2052990388,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02665-23,340120.12706269196,20.0,0.4942,0.4942,0.2471,0.2471
C3N-03093-22,445678.86928364064,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04873-27,402647.1795135723,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02650-22,385201.0108901693,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02546-21,348665.65435803484,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05423-28,405616.6860482867,20.0,0.5031,0.5031,0.25155,0.25155
C3N-03093-24,442224.97264566564,20.0,0.4942,0.4942,0.2471,0.2471
C3L-03965-27,372505.3399861004,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04878-28,431172.9948526306,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04889-27,562238.0587454693,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04378-21,432617.674716293,20.0,0.5031,0.5031,0.25155,0.25155
C3N-05630-22,358739.9734389144,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04792-22,398294.3018747546,20.0,0.5031,0.5031,0.25155,0.25155
C3N-01411-27,459056.6277088453,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04863-24,502740.79271543125,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04921-28,503494.4504084055,20.0,0.5031,0.5031,0.25155,0.25155
C3N-01846-26,167349.48161423914,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04804-24,420476.46954872855,20.0,0.5031,0.5031,0.25155,0.25155
C3N-05079-21,397297.7859148025,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05398-26,635988.6468568888,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05428-26,520635.9079701026,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04334-28,377161.2041849633,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04922-27,465325.1879317804,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04883-24,403180.6214182358,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04863-26,583620.878006893,20.0,0.5031,0.5031,0.25155,0.25155
C3L-03987-21,415272.21908058453,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02669-22,318637.51640327595,20.0,0.4942,0.4942,0.2471,0.2471
